end_station_name
E 41 St & Madison Ave
E 23 St & 1 Ave
W 110 St & Amsterdam Ave
W 26 St & 8 Ave
E 33 St & 5 Ave
Park Ave & E 124 St
Reade St & Broadway
Market St & Cherry St
W 129 St & Convent Ave
W 37 St & 5 Ave
MacDougal St & Washington Sq
Carmine St & 6 Ave
Mt Morris Park W & W 120 St
W 63 St & Broadway
Pershing Square South
E 110 St & Madison Ave
W 76 St & Columbus Ave
Riverside Dr & W 91 St
Columbus Ave & W 72 St
Great Jones St
W 100 St & Manhattan Ave
E 16 St & Irving Pl
Lexington Ave & E 36 St
Bialystoker Pl & Delancey St
Broadway & W 51 St
North Moore St & Greenwich St
8 Ave & W 31 St
Lexington Ave & E 127 St
Hudson St & Reade St
Frederick Douglass Blvd & W 115 St
Stuyvesant Walk & 1 Av Loop
E 84 St & Park Ave
Madison St & Clinton St
Barclay St & Church St
E 115 St & Madison Ave
E 25 St & 1 Ave
E 12 St & 4 Av
E 128 St & Madison Ave
Leonard St & Church St
Central Park West & W 85 St
E 75 St & 3 Ave
E 17 St & Broadway
E 91 St & Park Ave
Peck Slip & Front St
E 51 St & 1 Ave
W 64 St & Thelonious Monk Circle
6 Ave & Broome St
South St & Whitehall St
E 74 St & 1 Ave
W 70 St & Amsterdam Ave
E 2 St & Avenue B
E 89 St & York Ave
2 Ave & E 72 St
Washington St & Gansevoort St
W 43 St & 10 Ave
W 20 St & 7 Ave
5 Ave & E 103 St
5 Ave & E 126 St
Avenue D & E 12 St
W 92 St & Broadway
5 Ave & E 88 St
W 45 St & 6 Ave
E 78 St & 2 Ave
Morningside Dr & Amsterdam Ave
W 78 St & Broadway
Central Park North & Adam Clayton Powell Blvd
E 58 St &  1 Ave (NW Corner)
W 18 St & 6 Ave
W 16 St & The High Line
W 104 St & Amsterdam Ave
Washington Pl & Broadway
Lenox Ave & W 111 St
Amsterdam Ave & W 125 St
Cliff St & Fulton St
Cherry St
Pike St & Monroe St
E 81 St & 2 Ave
West End Ave & W 107 St
Frederick Douglass Blvd & W 117 St
W 45 St & 8 Ave
E 76 St & Park Ave
Riverside Dr & W 78 St
Central Park West & W 72 St
W 52 St & 5 Ave
7 Ave & Central Park South
Central Park W & W 96 St
W 116 St & Broadway
Lispenard St & Broadway
W 44 St & 5 Ave
Little West St & 1 Pl
W 87 St & Amsterdam Ave
Madison Ave & E 82 St
Lexington Ave & E 63 St
W 49 St & 8 Ave
W 20 St & 11 Ave
Amsterdam Ave & W 82 St
E 48 St & 5 Ave
E 84 St & 1 Ave
W 116 St & Amsterdam Ave
Morningside Ave & W 123 St
W 40 St & 5 Ave
Riverside Dr & W 82 St
Centre St & Worth St
Watts St & Greenwich St
5 Ave & E 73 St
W 67 St & Broadway
Laight St & Hudson St
E 43 St & 2 Ave
E 102 St & 1 Ave
East End Ave & E 86 St
E 114 St & 1 Ave
E 109 St & 3 Ave
1 Ave & E 94 St
W 106 St & Central Park West
St Nicholas Ave & Manhattan Ave
E 72 St & Park Ave
Park Pl & Church St
E 58 St & Madison Ave
Harrison St & Hudson St
E 81 St & 3 Ave
West Thames St
E 43 St & 5 Ave
E 56 St & 3 Ave
3 Ave & E 71 St
Central Park West & W 102 St
E 97 St & 3 Ave
E 89 St & 3 Ave
1 Ave & E 110 St
E 16 St & 5 Ave
E 10 St & 5 Ave
10 Hudson Yards
Lexington Ave & E 120 St
St James Pl & Pearl St
3 Ave & E 112 St
3 Ave & E 95 St
Riverside Dr & W 72 St
E 118 St & Madison Ave
E 118 St & Park Ave
W 120 St & Claremont Ave
Broadway & W 37 St
E 66 St & Madison Ave
E 85 St & York Ave
Soissons Landing
Yankee Ferry Terminal
Picnic Point
Madison Ave & E 120 St
E 106 St & 1 Ave
Adam Clayton Powell Blvd & W 118 St
E 106 St & Lexington Ave
E 58 St & 1 Ave (NE Corner)
Broad St & Bridge St
3 Ave & E 100 St
E 68 St & Madison Ave
E 116 St & 2 Ave
2 Ave & E 99 St
NYCBS DEPOT - DELANCEY
E 95 St & 3 Ave
W 39 St & 9 Ave
University Pl & E 14 St (old)
University Pl & E 14 St
