start_uhf34_neighborhood,end_uhf34_neighborhood,n
Long Island City Astoria (Start),Long Island City Astoria (End),27790
Long Island City Astoria (Start),West Queens (End),2159
West Queens (Start),Long Island City Astoria (End),2098
West Queens (Start),West Queens (End),204
Ridgewood Forest Hills (Start),Ridgewood Forest Hills (End),31
Long Island City Astoria (Start),Ridgewood Forest Hills (End),15
Ridgewood Forest Hills (Start),Long Island City Astoria (End),12
Ridgewood Forest Hills (Start),West Queens (End),1
