bikeid,user_type,gender,age,start_time,stop_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,start_station_id,start_station_name,start_zipcode,start_uhf34_neighborhood,end_station_id,end_station_name,end_zipcode,end_uhf34_neighborhood,start_sdi_score,start_percent_overweight,start_aq,end_sdi_score,end_percent_overweight,end_aq,end_borough,start_borough,start_station_count,end_station_count
39502,Subscriber,Male,26,2019-09-01T00:08:23Z,2019-09-01T00:30:27Z,40.69196566,-73.9813018,40.678045,-73.962408,239,Willoughby St & Fleet St,11201,Downtown Heights Slope,3549,Grand Ave & Bergen St,11238,Bedford Stuyvesant Crown Heights,64,50.8,7.44,70,62.9,6.61,Brooklyn,Brooklyn,1906,854
15153,Customer,Unknown,50,2019-09-01T00:08:27Z,2019-09-01T00:29:35Z,40.6804836,-73.9646795,40.682601,-73.938037,3544,Underhill Ave & Pacific St,11238,Bedford Stuyvesant Crown Heights,3046,Marcus Garvey Blvd & Macon St,11216,Bedford Stuyvesant Crown Heights,70,62.9,6.61,83,62.9,6.61,Brooklyn,Brooklyn,847,610
20974,Customer,Male,28,2019-09-01T00:09:20Z,2019-09-01T00:24:33Z,40.704876,-73.919911,40.69539817,-73.94954908,3779,Hart St & Wyckoff Ave,11237,Williamsburg Bushwick,3062,Myrtle Ave & Marcy Ave,11237,Williamsburg Bushwick,98,61.8,7.5,98,61.8,7.5,Brooklyn,Brooklyn,625,532
19571,Subscriber,Female,24,2019-09-01T00:09:39Z,2019-09-01T00:28:08Z,40.71285887,-73.96590294,40.676368,-73.952918,460,S 4 St & Wythe Ave,11211,Greenpoint,3571,Bedford Ave & Bergen St,11226,East Flatbush Flatbush,88,41.8,8.56,88,58.9,6.31,Brooklyn,Brooklyn,3437,1133
34927,Subscriber,Female,38,2019-09-01T00:09:44Z,2019-09-01T00:18:36Z,40.71638031973561,-73.94821286201477,40.70767788,-73.94016171,3456,Jackson St & Leonard St,11211,Greenpoint,3074,Montrose Ave & Bushwick Ave,11206,Williamsburg Bushwick,88,41.8,8.56,100,61.8,7.5,Brooklyn,Brooklyn,383,965
39873,Customer,Male,27,2019-09-01T00:09:49Z,2019-09-01T00:38:03Z,40.68186,-73.959432,40.697842,-73.926241,3789,Fulton St & Irving Pl,11207,East New York,3761,Cedar St & Myrtle Ave,11221,Williamsburg Bushwick,99,71.2,6.56,96,61.8,7.5,Brooklyn,Brooklyn,837,742
34362,Customer,Male,36,2019-09-01T00:10:16Z,2019-09-01T00:39:00Z,40.678045,-73.962408,40.65708866668485,-74.00870203971863,3549,Grand Ave & Bergen St,11238,Bedford Stuyvesant Crown Heights,3478,2 Ave & 36 St - Citi Bike HQ at Industry City,11232,Sunset Park,70,62.9,6.61,95,41.1,7.32,Brooklyn,Brooklyn,888,538
19287,Subscriber,Male,29,2019-09-01T00:10:24Z,2019-09-01T00:16:44Z,40.697842,-73.926241,40.707165,-73.923711,3761,Cedar St & Myrtle Ave,11221,Williamsburg Bushwick,3763,Wyckoff Av & Jefferson St,11385,Ridgewood Forest Hills,96,61.8,7.5,75,61.6,6.56,Queens,Brooklyn,918,799
15137,Subscriber,Male,33,2019-09-01T00:11:25Z,2019-09-01T00:29:57Z,40.70538077,-73.94976519,40.686312,-73.935775,3071,Boerum St & Broadway,11206,Williamsburg Bushwick,3052,Lewis Ave & Madison St,11221,Williamsburg Bushwick,100,61.8,7.5,96,61.8,7.5,Brooklyn,Brooklyn,744,969
29140,Subscriber,Male,35,2019-09-01T00:13:39Z,2019-09-01T00:19:10Z,40.6809591,-73.99905709,40.6829151,-73.99318208,3386,1 Pl & Clinton St,11231,Downtown Heights Slope,3329,Degraw St & Smith St,11217,Downtown Heights Slope,84,50.8,7.44,74,50.8,7.44,Brooklyn,Brooklyn,884,1047
25000,Subscriber,Male,27,2019-09-01T00:14:16Z,2019-09-01T00:23:28Z,40.70583339,-73.94644578,40.6894932,-73.942061,3072,Leonard St & Boerum St,11222,Greenpoint,3054,Greene Ave & Throop Ave,11221,Williamsburg Bushwick,61,41.8,8.56,96,61.8,7.5,Brooklyn,Brooklyn,494,655
33884,Customer,Male,30,2019-09-01T00:14:43Z,2019-09-01T00:21:19Z,40.69957608,-73.94708417,40.6894932,-73.942061,3066,Tompkins Ave & Hopkins St,11216,Bedford Stuyvesant Crown Heights,3054,Greene Ave & Throop Ave,11221,Williamsburg Bushwick,83,62.9,6.61,96,61.8,7.5,Brooklyn,Brooklyn,632,655
31477,Subscriber,Female,37,2019-09-01T00:16:24Z,2019-09-01T00:32:33Z,40.70538,-73.92535,40.71044554,-73.96525063,3759,Irving Ave & Jefferson St,11237,Williamsburg Bushwick,389,Broadway & Berry St,11207,East New York,98,61.8,7.5,99,71.2,6.56,Brooklyn,Brooklyn,483,1411
39461,Subscriber,Female,24,2019-09-01T00:16:37Z,2019-09-01T00:37:21Z,40.70411791,-73.94818595,40.70538077,-73.94976519,3069,Lorimer St & Broadway,11221,Williamsburg Bushwick,3071,Boerum St & Broadway,11206,Williamsburg Bushwick,96,61.8,7.5,100,61.8,7.5,Brooklyn,Brooklyn,573,566
38447,Subscriber,Female,27,2019-09-01T00:17:16Z,2019-09-01T00:46:51Z,40.675146838709786,-73.97523209452629,40.6729679,-73.97087984,3346,Berkeley Pl & 7 Ave,11217,Downtown Heights Slope,3349,Grand Army Plaza & Plaza St West,11217,Downtown Heights Slope,74,50.8,7.44,74,50.8,7.44,Brooklyn,Brooklyn,1823,2424
