bikeid,user_type,gender,age,start_time,stop_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,start_station_id,start_station_name,start_zipcode,start_uhf34_neighborhood,end_station_id,end_station_name,end_zipcode,end_uhf34_neighborhood,start_sdi_score,start_percent_overweight,start_aq,end_sdi_score,end_percent_overweight,end_aq,end_borough,start_borough,start_station_count,end_station_count
39103,Subscriber,Female,28,2019-09-01T00:07:01Z,2019-09-01T00:21:55Z,40.724055,-73.955736,40.711863,-73.944024,3105,N 15 St & Wythe Ave,11222,Greenpoint,3081,Graham Ave & Grand St,11211,Greenpoint,61,41.8,8.56,88,41.8,8.56,Brooklyn,Brooklyn,422,1406
39502,Subscriber,Male,26,2019-09-01T00:08:23Z,2019-09-01T00:30:27Z,40.69196566,-73.9813018,40.678045,-73.962408,239,Willoughby St & Fleet St,11201,Downtown Heights Slope,3549,Grand Ave & Bergen St,11238,Bedford Stuyvesant Crown Heights,64,50.8,7.44,70,62.9,6.61,Brooklyn,Brooklyn,1734,908
15153,Customer,Unknown,50,2019-09-01T00:08:27Z,2019-09-01T00:29:35Z,40.6804836,-73.9646795,40.682601,-73.938037,3544,Underhill Ave & Pacific St,11238,Bedford Stuyvesant Crown Heights,3046,Marcus Garvey Blvd & Macon St,11216,Bedford Stuyvesant Crown Heights,70,62.9,6.61,83,62.9,6.61,Brooklyn,Brooklyn,777,636
39297,Customer,Unknown,50,2019-09-01T00:08:34Z,2019-09-01T00:19:53Z,40.700003,-73.92834,40.710681,-73.93372,3776,Central Ave & Starr Street,11237,Williamsburg Bushwick,3757,Stagg St & Morgan Ave,11206,Williamsburg Bushwick,98,61.8,7.5,100,61.8,7.5,Brooklyn,Brooklyn,508,302
20974,Customer,Male,28,2019-09-01T00:09:20Z,2019-09-01T00:24:33Z,40.704876,-73.919911,40.69539817,-73.94954908,3779,Hart St & Wyckoff Ave,11237,Williamsburg Bushwick,3062,Myrtle Ave & Marcy Ave,11237,Williamsburg Bushwick,98,61.8,7.5,98,61.8,7.5,Brooklyn,Brooklyn,551,580
27279,Subscriber,Female,48,2019-09-01T00:09:31Z,2019-09-01T00:33:46Z,40.707165,-73.923711,40.694546087246025,-73.95801365375519,3763,Wyckoff Av & Jefferson St,11385,Ridgewood Forest Hills,372,Franklin Ave & Myrtle Ave,11205,Downtown Heights Slope,75,61.6,6.56,97,50.8,7.44,Brooklyn,Queens,842,609
19571,Subscriber,Female,24,2019-09-01T00:09:39Z,2019-09-01T00:28:08Z,40.71285887,-73.96590294,40.676368,-73.952918,460,S 4 St & Wythe Ave,11211,Greenpoint,3571,Bedford Ave & Bergen St,11226,East Flatbush Flatbush,88,41.8,8.56,88,58.9,6.31,Brooklyn,Brooklyn,2275,1242
34927,Subscriber,Female,38,2019-09-01T00:09:44Z,2019-09-01T00:18:36Z,40.71638031973561,-73.94821286201477,40.70767788,-73.94016171,3456,Jackson St & Leonard St,11211,Greenpoint,3074,Montrose Ave & Bushwick Ave,11206,Williamsburg Bushwick,88,41.8,8.56,100,61.8,7.5,Brooklyn,Brooklyn,310,1171
34362,Customer,Male,36,2019-09-01T00:10:16Z,2019-09-01T00:39:00Z,40.678045,-73.962408,40.65708866668485,-74.00870203971863,3549,Grand Ave & Bergen St,11238,Bedford Stuyvesant Crown Heights,3478,2 Ave & 36 St - Citi Bike HQ at Industry City,11232,Sunset Park,70,62.9,6.61,95,41.1,7.32,Brooklyn,Brooklyn,820,570
26600,Subscriber,Male,39,2019-09-01T00:10:29Z,2019-09-01T00:17:42Z,40.71638031973561,-73.94821286201477,40.70870368,-73.9448625,3456,Jackson St & Leonard St,11211,Greenpoint,3076,Scholes St & Manhattan Ave,11206,Williamsburg Bushwick,88,41.8,8.56,100,61.8,7.5,Brooklyn,Brooklyn,310,1284
15137,Subscriber,Male,33,2019-09-01T00:11:25Z,2019-09-01T00:29:57Z,40.70538077,-73.94976519,40.686312,-73.935775,3071,Boerum St & Broadway,11206,Williamsburg Bushwick,3052,Lewis Ave & Madison St,11221,Williamsburg Bushwick,100,61.8,7.5,96,61.8,7.5,Brooklyn,Brooklyn,644,1048
30723,Subscriber,Male,26,2019-09-01T00:12:29Z,2019-09-01T00:50:56Z,40.7158155,-73.99422366,40.67890679,-73.94142771,412,Forsyth St & Canal St,10002,"Union Square, Lower Manhattan",3041,Kingston Ave & Herkimer St,11225,East Flatbush Flatbush,97,40.5,8.67,88,58.9,6.31,Brooklyn,Manhattan,1161,898
35369,Customer,Male,29,2019-09-01T00:13:02Z,2019-09-01T00:54:57Z,40.72307749068673,-73.98583620786667,40.6765304,-73.97846879,3656,E 2 St & Avenue A,10009,"Union Square, Lower Manhattan",3339,Berkeley Pl & 6 Ave,11217,Downtown Heights Slope,88,40.5,8.67,74,50.8,7.44,Brooklyn,Manhattan,208,906
25000,Subscriber,Male,27,2019-09-01T00:14:16Z,2019-09-01T00:23:28Z,40.70583339,-73.94644578,40.6894932,-73.942061,3072,Leonard St & Boerum St,11222,Greenpoint,3054,Greene Ave & Throop Ave,11221,Williamsburg Bushwick,61,41.8,8.56,96,61.8,7.5,Brooklyn,Brooklyn,368,688
33749,Subscriber,Male,24,2019-09-01T00:16:12Z,2019-09-01T00:58:01Z,40.7284186,-73.98713956,40.6686744,-73.9618148,236,St Marks Pl & 2 Ave,10003,"Union Square, Lower Manhattan",3587,Carroll St & Washington Ave,11225,East Flatbush Flatbush,49,40.5,8.67,88,58.9,6.31,Brooklyn,Manhattan,309,347
39461,Subscriber,Female,24,2019-09-01T00:16:37Z,2019-09-01T00:37:21Z,40.70411791,-73.94818595,40.70538077,-73.94976519,3069,Lorimer St & Broadway,11221,Williamsburg Bushwick,3071,Boerum St & Broadway,11206,Williamsburg Bushwick,96,61.8,7.5,100,61.8,7.5,Brooklyn,Brooklyn,516,719
38447,Subscriber,Female,27,2019-09-01T00:17:16Z,2019-09-01T00:46:51Z,40.675146838709786,-73.97523209452629,40.6729679,-73.97087984,3346,Berkeley Pl & 7 Ave,11217,Downtown Heights Slope,3349,Grand Army Plaza & Plaza St West,11217,Downtown Heights Slope,74,50.8,7.44,74,50.8,7.44,Brooklyn,Brooklyn,1764,2480
38526,Customer,Female,36,2019-09-01T00:17:17Z,2019-09-01T00:25:45Z,40.68676793,-73.95928168,40.6823687,-73.944118,120,Lexington Ave & Classon Ave,11221,Williamsburg Bushwick,3047,Halsey St & Tompkins Ave,11233,Bedford Stuyvesant Crown Heights,96,61.8,7.5,97,62.9,6.61,Brooklyn,Brooklyn,863,752
35257,Subscriber,Male,32,2019-09-01T00:17:52Z,2019-09-01T00:44:10Z,40.722055,-73.989111,40.70538,-73.92535,312,Allen St & Stanton St,10002,"Union Square, Lower Manhattan",3759,Irving Ave & Jefferson St,11237,Williamsburg Bushwick,97,40.5,8.67,98,61.8,7.5,Brooklyn,Manhattan,334,484
33808,Customer,Male,27,2019-09-01T00:17:57Z,2019-09-01T00:30:06Z,40.6851443,-73.95380904,40.68506807308177,-73.97790759801863,344,Monroe St & Bedford Ave,11216,Bedford Stuyvesant Crown Heights,3429,Hanson Pl & Ashland Pl,11217,Downtown Heights Slope,83,62.9,6.61,74,50.8,7.44,Brooklyn,Brooklyn,931,3101
