latitude,longitude,postcode
40.72430527250332,-73.99600982666016,10012
40.751396,-74.005226,10001
40.6883337,-73.950916,11216
40.76302594280519,-73.97209525108337,10022
40.7987859,-73.9523,10037
40.6740123,-73.9671457,11238
40.72521311,-73.97768752,10009
40.76584941,-73.98690506,10019
40.74487634,-73.99529885,10011
40.74765947,-73.98490707,10016
40.74780373,-73.9734419,10016
40.73047747,-73.99906065,10011
40.79406660818552,-73.96286845207214,10025
40.701907,-74.013942,10004
40.72710258,-74.00297088,10012
40.77896784,-73.97374737,10024
40.751873,-73.977706,10037
40.78524672,-73.97667321,10024
40.73221853,-73.98165557,10009
40.72743423,-73.99379025,10012
40.8038654,-73.9559308,10026
40.73454567,-73.99074142,10003
40.6769993,-74.00647134,11231
40.749156,-73.9916,10001
40.71915571696044,-73.94885390996933,11211
40.73912601,-73.97973776,10010
40.71929301,-73.94500379,11222
40.76350532,-73.97109243,10022
40.77579376683666,-73.9762057363987,10023
40.72502876,-73.99069656,10012
40.77492513,-73.98266566,10023
40.76780080148132,-73.96592080593109,10065
40.74173969,-73.99415556,10011
40.75500254,-73.98014437,10036
40.6831164,-73.99785267,11231
40.7734066,-73.97782542,10023
40.78499979,-73.97283406,10024
40.668127,-73.98377641,11215
40.6769694,-73.96579,11238
40.70255065,-74.0127234,10004
40.7922553,-73.95249933,10029
40.71427487,-73.98990025,10002
40.752165280621966,-73.97992193698882,10017
40.73971301,-73.99456405,10011
40.72405549,-74.00965965,10005
40.73781509,-73.99994661,10011
40.6691783,-73.9554162,11225
40.71911552,-74.00666661,10013
40.73652889,-74.00618026,10014
40.72557,-73.94434,11222
40.72494672359416,-74.00165855884552,10012
40.73232194,-73.9550858,11222
40.77748046,-73.98288594,10023
40.70122128,-74.01234218,10004
40.71602118,-73.99974372,10013
40.7403432,-73.98955109,10010
40.72036775298455,-73.96165072917938,11249
40.76095756,-73.96724467,10022
40.6746957,-73.99785768,11231
40.73401143,-74.00293877,10014
40.78839,-73.9747,10024
40.75527307,-73.98316936,NA
40.733812191966315,-73.98054420948029,10010
40.74395411,-73.99144871,10001
40.77140426,-73.9535166,10075
40.73624527,-73.98473765,10003
40.76370739,-73.9851615,10019
40.68676793,-73.95928168,11221
40.71273266,-74.0046073,10000
40.72243797,-74.00566443,10005
40.76500525,-73.95818491,10065
40.74937024193277,-73.99923384189606,10001
40.77282817,-73.96685276,10021
40.72165481,-74.00234737,10013
40.76269882,-73.99301222,10036
40.70905623,-74.01043382,10005
40.6711978,-73.97484126,11215
40.72311651,-73.95212324,11222
40.718822,-73.99596,10013
40.6686744,-73.9618148,11225
40.688417427540834,-73.98451656103134,11201
40.6729679,-73.97087984,11217
40.71850211,-73.98329859,10002
40.73314259,-73.97573881,10010
40.75714758,-73.97207836,10022
40.73291553,-74.00711384,10014
40.6686273,-73.98700053,11215
40.68312489,-73.97895137,11213
40.7158155,-73.99422366,10002
40.72066442,-73.98517977,10002
40.735238,-74.000271,10014
40.74734825,-73.99723551,10001
40.760339,-73.9222427,11106
40.72740794,-73.98142006,10009
40.71413089,-73.9970468,10002
40.795346,-73.96186,10025
