ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
41735,196,86,100,1,100,92,88,1,100,1.1393398,.55789477,0,.6102941,.77551019,.16901408,.5633803,0
41739,139,43,100,100,30,1,8,1,75,-.21548834,.59712231,1,.065420561,.34,0,.14285715,0
41740,1147,64,64,57,93,17,12,99,93,.38633198,.1455972,.13664596,.26975477,.42459735,.024691358,.16790123,.18765432
41745,423,60,96,21,75,75,1,1,97,.26108479,.30769232,.079999998,.15936255,.47540984,.088050313,0,0
41746,464,92,100,69,99,95,36,96,100,1.3777882,.50646549,.15853658,.39244187,.74632353,.26046512,.27441859,.1255814
41749,2918,67,96,3,91,84,6,59,100,.49911085,.30314657,.035479631,.24241072,.59780824,.11451049,.12325175,.027097901
41751,239,48,75,84,97,1,3,1,81,-.082866721,.17991632,.2,.34562212,.35971224,0,.09565217,0
41754,348,86,93,84,91,90,12,99,98,1.1141571,.27873564,.2,.24352331,.49777779,.15533981,.16504854,.21359223
41759,314,89,100,99,84,75,73,1,99,1.2588358,.54777068,.33695653,.19607843,.53968257,.089108914,.44554454,0
41760,5,,1,1,1,1,1,1,1,,0,0,0,0,0,0,0
41762,0,,,,,,,,,,0,0,0,0,0,0,0
41763,563,85,100,100,88,55,35,56,100,1.1102151,.50799292,.375,.21987952,.58566976,.059322033,.27118644,.025423728
41764,760,48,78,1,100,72,7,1,96,-.093751691,.18947369,0,.46666667,.44999999,.082474224,.1305842,0
41766,197,57,94,99,99,1,1,1,100,.19747491,.28934011,.32692307,.42857143,.76258993,0,0,0
41772,356,61,85,1,94,1,17,99,82,.31792605,.21629213,0,.28217822,.3631579,0,.19298245,.20175439
41773,1351,82,100,29,98,96,21,72,100,.99478549,.49222797,.092964821,.38574424,.63157892,.27027026,.21114865,.038851351
41774,2526,64,81,5,90,71,23,55,96,.38940686,.20063567,.046632126,.23249739,.46153846,.08118812,.22277227,.024752475
41775,41,1,1,1,1,1,1,1,1,-2.0501735,0,0,0,0,0,0,0
41776,1850,66,100,1,74,45,9,100,96,.4627094,.48944339,0,.15643564,.4521139,.049808428,.14750957,.2605364
41777,738,66,95,2,97,96,5,1,100,.44854805,.30216801,.025751073,.33060557,.59806293,.27576602,.11420613,0
41804,396,24,27,2,73,57,1,1,98,-.79151452,.073791347,.021739131,.15116279,.5,.061904762,.052380953,0
41810,244,71,100,1,98,1,69,1,100,.61231774,.52868855,0,.36480686,.66891891,0,.41717792,0
41812,245,60,99,99,94,1,11,1,100,.29018536,.39591837,.3508772,.27272728,.66666669,0,.16,0
41815,1094,83,100,1,99,78,39,99,95,1.0157605,.48994514,0,.39418417,.44411764,.09535452,.28606358,.18581907
41817,191,44,100,96,1,1,41,1,1,-.20831317,.44502619,.27272728,0,.08791209,0,.29032257,0
41819,259,46,96,1,75,1,1,1,97,-.12956546,.31660232,0,.16017316,.46808511,0,0,0
41821,398,42,100,88,1,1,1,1,99,-.25909969,.4522613,.21333334,0,.55805242,0,0,0
41822,2384,81,93,5,96,90,42,78,98,.9435038,.27574018,.045731708,.31648767,.50957292,.151357,.29436326,.048016701
41824,1186,88,97,51,85,90,60,68,98,1.2130766,.32967961,.12655087,.2057911,.51137727,.15120275,.37285224,.034364261
41825,638,73,97,1,48,95,85,1,99,.69025815,.32432431,0,.094420604,.515625,.25600001,.53200001,0
41826,643,47,88,1,40,82,9,1,98,-.10356702,.23529412,0,.08016032,.51156813,.10726643,.14878893,0
41828,755,67,95,65,76,33,23,13,100,.48803028,.29801324,.15165877,.16167665,.57417101,.039215688,.22222222,.0065359478
41831,693,74,94,1,94,88,57,28,97,.70463455,.28138527,0,.27348992,.4623656,.13602015,.35516372,.012594459
41832,323,48,96,100,20,1,7,1,99,-.065943122,.30650154,.37410071,.051181104,.55594409,0,.1294964,0
41833,425,83,99,1,96,85,83,1,100,1.0307811,.3764706,0,.32441473,.68100357,.11864407,.51977402,0
